Disease,Doctor Name,,User Rating,City,State,Hospital,Available Time Slots
Fungal infection,Darlene Anderson,,1.2,Mumbai,Maharashtra,Dr. Balabhai Nanavati Hospital,"15:00 - 16:00, 17:00 - 18:00, 9:00 - 10:00"
Fungal infection,David Wright,,2.6,Delhi,Delhi,All India Institute of Medical Sciences,"8:00 - 9:00, 13:00 - 14:00, 17:00 - 18:00"
Fungal infection,Marcus Golden,,2.3,Bangalore,Karnataka,Manipal Hospital,"8:00 - 9:00, 9:00 - 10:00, 11:00 - 12:00"
Fungal infection,Geoffrey Jordan,,3,Hyderabad,Telangana,Apollo Health City,"15:00 - 16:00, 9:00 - 10:00, 11:00 - 12:00"
Allergy,John Cruz DDS,,1.5,Kolkata,West Bengal,Fortis Hospital,"16:00 - 17:00, 14:00 - 15:00, 8:00 - 9:00"
Allergy,Patricia Delgado MD,,4.1,Chennai,Tamil Nadu,Apollo Hospitals,"9:00 - 10:00, 16:00 - 17:00, 13:00 - 14:00"
Allergy,Cody Kaiser,,3.3,Ahmedabad,Gujarat,Sterling Hospital,"14:00 - 15:00, 17:00 - 18:00, 15:00 - 16:00"
Allergy,Stephen Nielsen,,1.7,Pune,Maharashtra,Jehangir Hospital,"13:00 - 14:00, 17:00 - 18:00, 8:00 - 9:00"
GERD,Michael Flores,,4.4,Surat,Gujarat,New Civil Hospital,"10:00 - 11:00, 13:00 - 14:00, 14:00 - 15:00"
GERD,Dawn Davis,,3.7,Jaipur,Rajasthan,Fortis Escorts Hospital,"8:00 - 9:00, 10:00 - 11:00, 13:00 - 14:00"
GERD,Derek Daugherty III,,3.9,Lucknow,Uttar Pradesh,Sanjay Gandhi Postgraduate Institute of Medical Sciences,"12:00 - 13:00, 10:00 - 11:00, 13:00 - 14:00"
GERD,Patricia Webster,,1.5,Kanpur,Uttar Pradesh,Regency Hospital Limited,"17:00 - 18:00, 11:00 - 12:00, 15:00 - 16:00"
GERD,Cameron Perry,,1.5,Nagpur,Maharashtra,New Era Hospital,"17:00 - 18:00, 16:00 - 17:00, 10:00 - 11:00"
Chronic cholestasis,Sarah Fritz,,1.8,Indore,Madhya Pradesh,Bombay Hospital,"11:00 - 12:00, 15:00 - 16:00, 17:00 - 18:00"
Chronic cholestasis,Ryan Johnson,,4.2,Thane,Maharashtra,Jupiter Hospital,"12:00 - 13:00, 10:00 - 11:00, 13:00 - 14:00"
Chronic cholestasis,Alan Wade,,4.6,Mumbai,Maharashtra,Dr. Balabhai Nanavati Hospital,"12:00 - 13:00, 10:00 - 11:00, 15:00 - 16:00"
Drug Reaction,Samantha Leon,,4.9,Delhi,Delhi,All India Institute of Medical Sciences,"16:00 - 17:00, 10:00 - 11:00, 17:00 - 18:00"
Drug Reaction,Stuart Gardner,,3.2,Bangalore,Karnataka,Manipal Hospital,"12:00 - 13:00, 13:00 - 14:00, 10:00 - 11:00"
Drug Reaction,Matthew Parks,,1.2,Hyderabad,Telangana,Apollo Health City,"14:00 - 15:00, 10:00 - 11:00, 16:00 - 17:00"
Drug Reaction,Ms. Susan Hernandez,,4.7,Kolkata,West Bengal,Fortis Hospital,"14:00 - 15:00, 11:00 - 12:00, 9:00 - 10:00"
Peptic ulcer diseae,James Blackwell,,2.1,Chennai,Tamil Nadu,Apollo Hospitals,"13:00 - 14:00, 9:00 - 10:00, 10:00 - 11:00"
Peptic ulcer diseae,Nicholas Serrano,,2.8,Ahmedabad,Gujarat,Sterling Hospital,"10:00 - 11:00, 9:00 - 10:00, 11:00 - 12:00"
Peptic ulcer diseae,Brandy Hansen,,2.6,Pune,Maharashtra,Jehangir Hospital,"17:00 - 18:00, 12:00 - 13:00, 11:00 - 12:00"
Peptic ulcer diseae,Jeff Hubbard,,3.5,Surat,Gujarat,New Civil Hospital,"11:00 - 12:00, 12:00 - 13:00, 8:00 - 9:00"
Peptic ulcer diseae,Carla Walker,,3.2,Jaipur,Rajasthan,Fortis Escorts Hospital,"13:00 - 14:00, 12:00 - 13:00, 14:00 - 15:00"
AIDS,Michael Rubio,,2.7,Lucknow,Uttar Pradesh,Sanjay Gandhi Postgraduate Institute of Medical Sciences,"12:00 - 13:00, 14:00 - 15:00, 11:00 - 12:00"
AIDS,Laurie Lopez,,3.7,Kanpur,Uttar Pradesh,Regency Hospital Limited,"16:00 - 17:00, 8:00 - 9:00, 13:00 - 14:00"
AIDS,Jennifer Edwards,,2.7,Nagpur,Maharashtra,New Era Hospital,"9:00 - 10:00, 10:00 - 11:00, 11:00 - 12:00"
AIDS,Tyler Cordova,,4.2,Indore,Madhya Pradesh,Bombay Hospital,"10:00 - 11:00, 12:00 - 13:00, 11:00 - 12:00"
AIDS,Craig Perez,,1.6,Thane,Maharashtra,Jupiter Hospital,"8:00 - 9:00, 17:00 - 18:00, 15:00 - 16:00"
Diabetes,James Bennett,,4.2,Mumbai,Maharashtra,Dr. Balabhai Nanavati Hospital,"17:00 - 18:00, 12:00 - 13:00, 13:00 - 14:00"
Diabetes,Harry Porter,,4.4,Delhi,Delhi,All India Institute of Medical Sciences,"14:00 - 15:00, 11:00 - 12:00, 9:00 - 10:00"
Diabetes,Sarah Lopez,,3.3,Bangalore,Karnataka,Manipal Hospital,"13:00 - 14:00, 12:00 - 13:00, 16:00 - 17:00"
Gastroenteritis,Jennifer Taylor,,3.6,Hyderabad,Telangana,Apollo Health City,"16:00 - 17:00, 10:00 - 11:00, 14:00 - 15:00"
Gastroenteritis,Daniel Rubio,,3.8,Kolkata,West Bengal,Fortis Hospital,"10:00 - 11:00, 17:00 - 18:00, 9:00 - 10:00"
Gastroenteritis,Alexander Cross,,3.9,Chennai,Tamil Nadu,Apollo Hospitals,"13:00 - 14:00, 17:00 - 18:00, 8:00 - 9:00"
Bronchial Asthma,Stephanie Smith,,3.7,Ahmedabad,Gujarat,Sterling Hospital,"13:00 - 14:00, 14:00 - 15:00, 15:00 - 16:00"
Bronchial Asthma,Jennifer Gonzalez,,2.1,Pune,Maharashtra,Jehangir Hospital,"15:00 - 16:00, 9:00 - 10:00, 8:00 - 9:00"
Bronchial Asthma,Grace Munoz,,2.7,Surat,Gujarat,New Civil Hospital,"12:00 - 13:00, 15:00 - 16:00, 10:00 - 11:00"
Bronchial Asthma,Michael Ward,,4.9,Jaipur,Rajasthan,Fortis Escorts Hospital,"8:00 - 9:00, 12:00 - 13:00, 17:00 - 18:00"
Bronchial Asthma,Cameron Perry,,1.3,Lucknow,Uttar Pradesh,Sanjay Gandhi Postgraduate Institute of Medical Sciences,"10:00 - 11:00, 14:00 - 15:00, 15:00 - 16:00"
Hypertension,Casey Graves,,4.3,Kanpur,Uttar Pradesh,Regency Hospital Limited,"14:00 - 15:00, 17:00 - 18:00, 13:00 - 14:00"
Hypertension,Margaret Stark,,3.4,Nagpur,Maharashtra,New Era Hospital,"14:00 - 15:00, 8:00 - 9:00, 13:00 - 14:00"
Hypertension,Brandi Hamilton,,3.5,Indore,Madhya Pradesh,Bombay Hospital,"13:00 - 14:00, 15:00 - 16:00, 8:00 - 9:00"
Migraine,Kimberly Baldwin,,3.3,Thane,Maharashtra,Jupiter Hospital,"13:00 - 14:00, 10:00 - 11:00, 11:00 - 12:00"
Migraine,Tiffany Petty,,3.2,Mumbai,Maharashtra,Dr. Balabhai Nanavati Hospital,"14:00 - 15:00, 17:00 - 18:00, 8:00 - 9:00"
Migraine,Angelica Farmer,,4.3,Delhi,Delhi,All India Institute of Medical Sciences,"12:00 - 13:00, 11:00 - 12:00, 17:00 - 18:00"
Cervical spondylosis,Norman Anderson,,3.3,Bangalore,Karnataka,Manipal Hospital,"10:00 - 11:00, 12:00 - 13:00, 17:00 - 18:00"
Cervical spondylosis,James King,,2.7,Hyderabad,Telangana,Apollo Health City,"11:00 - 12:00, 12:00 - 13:00, 9:00 - 10:00"
Cervical spondylosis,Bryan Hayden,,4.6,Kolkata,West Bengal,Fortis Hospital,"9:00 - 10:00, 8:00 - 9:00, 16:00 - 17:00"
Cervical spondylosis,Jennifer Faulkner,,1.6,Chennai,Tamil Nadu,Apollo Hospitals,"11:00 - 12:00, 17:00 - 18:00, 15:00 - 16:00"
Paralysis (brain hemorrhage),Angela Davis,,2,Ahmedabad,Gujarat,Sterling Hospital,"12:00 - 13:00, 8:00 - 9:00, 16:00 - 17:00"
Paralysis (brain hemorrhage),Kerry Martinez,,3.4,Pune,Maharashtra,Jehangir Hospital,"17:00 - 18:00, 12:00 - 13:00, 10:00 - 11:00"
Paralysis (brain hemorrhage),Jose Maddox,,2.3,Surat,Gujarat,New Civil Hospital,"12:00 - 13:00, 11:00 - 12:00, 14:00 - 15:00"
Paralysis (brain hemorrhage),Whitney Berg,,3,Jaipur,Rajasthan,Fortis Escorts Hospital,"15:00 - 16:00, 17:00 - 18:00, 12:00 - 13:00"
Jaundice,Allison Evans,,1,Lucknow,Uttar Pradesh,Sanjay Gandhi Postgraduate Institute of Medical Sciences,"14:00 - 15:00, 11:00 - 12:00, 10:00 - 11:00"
Jaundice,Aaron Ward,,4,Kanpur,Uttar Pradesh,Regency Hospital Limited,"15:00 - 16:00, 12:00 - 13:00, 17:00 - 18:00"
Jaundice,Jamie Duncan,,4.9,Nagpur,Maharashtra,New Era Hospital,"16:00 - 17:00, 12:00 - 13:00, 15:00 - 16:00"
Malaria,Laura Powell,,1.1,Indore,Madhya Pradesh,Bombay Hospital,"14:00 - 15:00, 10:00 - 11:00, 15:00 - 16:00"
Malaria,Anthony Hale,,5,Thane,Maharashtra,Jupiter Hospital,"16:00 - 17:00, 10:00 - 11:00, 15:00 - 16:00"
Malaria,Shannon Parker,,3.4,Mumbai,Maharashtra,Dr. Balabhai Nanavati Hospital,"15:00 - 16:00, 9:00 - 10:00, 14:00 - 15:00"
Chicken pox,Linda Watson,,4.2,Delhi,Delhi,All India Institute of Medical Sciences,"17:00 - 18:00, 12:00 - 13:00, 8:00 - 9:00"
Chicken pox,Susan Green,,3.5,Bangalore,Karnataka,Manipal Hospital,"10:00 - 11:00, 12:00 - 13:00, 11:00 - 12:00"
Chicken pox,Sandra Pope,,4.8,Hyderabad,Telangana,Apollo Health City,"9:00 - 10:00, 15:00 - 16:00, 8:00 - 9:00"
Dengue,Arthur Ward,,2.9,Kolkata,West Bengal,Fortis Hospital,"17:00 - 18:00, 13:00 - 14:00, 12:00 - 13:00"
Dengue,Lisa Scott,,3.7,Chennai,Tamil Nadu,Apollo Hospitals,"8:00 - 9:00, 10:00 - 11:00, 9:00 - 10:00"
Dengue,Kenneth Richardson,,2.7,Ahmedabad,Gujarat,Sterling Hospital,"11:00 - 12:00, 17:00 - 18:00, 12:00 - 13:00"
Typhoid,David Brown,,4.9,Pune,Maharashtra,Jehangir Hospital,"9:00 - 10:00, 16:00 - 17:00, 13:00 - 14:00"
Typhoid,Scott Marshall,,2,Surat,Gujarat,New Civil Hospital,"17:00 - 18:00, 11:00 - 12:00, 9:00 - 10:00"
Typhoid,Katie Schroeder,,1.3,Jaipur,Rajasthan,Fortis Escorts Hospital,"8:00 - 9:00, 10:00 - 11:00, 11:00 - 12:00"
Typhoid,Shaun Weiss,,1.8,Lucknow,Uttar Pradesh,Sanjay Gandhi Postgraduate Institute of Medical Sciences,"13:00 - 14:00, 9:00 - 10:00, 11:00 - 12:00"
Typhoid,Vincent Kelly,,4.3,Kanpur,Uttar Pradesh,Regency Hospital Limited,"9:00 - 10:00, 14:00 - 15:00, 13:00 - 14:00"
hepatitis A,Vincent Cox,,5,Nagpur,Maharashtra,New Era Hospital,"9:00 - 10:00, 14:00 - 15:00, 12:00 - 13:00"
hepatitis A,Daniel Cox,,2.7,Indore,Madhya Pradesh,Bombay Hospital,"8:00 - 9:00, 13:00 - 14:00, 17:00 - 18:00"
hepatitis A,Joseph Burke,,2.7,Thane,Maharashtra,Jupiter Hospital,"10:00 - 11:00, 13:00 - 14:00, 16:00 - 17:00"
hepatitis A,Joel Bright,,1.5,Mumbai,Maharashtra,Dr. Balabhai Nanavati Hospital,"9:00 - 10:00, 12:00 - 13:00, 11:00 - 12:00"
Hepatitis B,Sarah Ortiz,,2.2,Delhi,Delhi,All India Institute of Medical Sciences,"9:00 - 10:00, 14:00 - 15:00, 17:00 - 18:00"
Hepatitis B,Maria Thompson,,4.4,Bangalore,Karnataka,Manipal Hospital,"17:00 - 18:00, 13:00 - 14:00, 15:00 - 16:00"
Hepatitis B,Alan Ray,,1,Hyderabad,Telangana,Apollo Health City,"10:00 - 11:00, 11:00 - 12:00, 16:00 - 17:00"
Hepatitis B,Mary Gonzales,,1.9,Kolkata,West Bengal,Fortis Hospital,"16:00 - 17:00, 12:00 - 13:00, 9:00 - 10:00"
Hepatitis C,Monica Olson,,1.3,Chennai,Tamil Nadu,Apollo Hospitals,"8:00 - 9:00, 11:00 - 12:00, 14:00 - 15:00"
Hepatitis C,Stacy Smith,,2.9,Ahmedabad,Gujarat,Sterling Hospital,"9:00 - 10:00, 13:00 - 14:00, 8:00 - 9:00"
Hepatitis C,Eric Jackson,,2.3,Pune,Maharashtra,Jehangir Hospital,"9:00 - 10:00, 12:00 - 13:00, 17:00 - 18:00"
Hepatitis C,Robert Williams,,3,Surat,Gujarat,New Civil Hospital,"11:00 - 12:00, 17:00 - 18:00, 15:00 - 16:00"
Hepatitis D,Amy Moore,,4.2,Jaipur,Rajasthan,Fortis Escorts Hospital,"9:00 - 10:00, 11:00 - 12:00, 16:00 - 17:00"
Hepatitis D,Destiny Rosales,,2.3,Lucknow,Uttar Pradesh,Sanjay Gandhi Postgraduate Institute of Medical Sciences,"15:00 - 16:00, 11:00 - 12:00, 8:00 - 9:00"
Hepatitis D,Mary Schroeder,,2.8,Kanpur,Uttar Pradesh,Regency Hospital Limited,"9:00 - 10:00, 12:00 - 13:00, 14:00 - 15:00"
Hepatitis D,Heather Nicholson,,1.9,Nagpur,Maharashtra,New Era Hospital,"15:00 - 16:00, 12:00 - 13:00, 10:00 - 11:00"
Hepatitis D,Anthony Elliott,,4.4,Indore,Madhya Pradesh,Bombay Hospital,"12:00 - 13:00, 8:00 - 9:00, 14:00 - 15:00"
Hepatitis E,Charles Smith,,2.7,Thane,Maharashtra,Jupiter Hospital,"16:00 - 17:00, 12:00 - 13:00, 8:00 - 9:00"
Hepatitis E,Sydney Lopez,,2,Mumbai,Maharashtra,Dr. Balabhai Nanavati Hospital,"16:00 - 17:00, 14:00 - 15:00, 8:00 - 9:00"
Hepatitis E,Brenda Jimenez,,3.8,Delhi,Delhi,All India Institute of Medical Sciences,"13:00 - 14:00, 8:00 - 9:00, 11:00 - 12:00"
Hepatitis E,Joseph Richardson,,3.6,Bangalore,Karnataka,Manipal Hospital,"17:00 - 18:00, 12:00 - 13:00, 9:00 - 10:00"
Alcoholic hepatitis,Dale Gray,,4.8,Hyderabad,Telangana,Apollo Health City,"10:00 - 11:00, 15:00 - 16:00, 11:00 - 12:00"
Alcoholic hepatitis,Michelle Diaz,,3.4,Kolkata,West Bengal,Fortis Hospital,"16:00 - 17:00, 8:00 - 9:00, 9:00 - 10:00"
Alcoholic hepatitis,Corey Dean,,3.7,Chennai,Tamil Nadu,Apollo Hospitals,"15:00 - 16:00, 17:00 - 18:00, 16:00 - 17:00"
Alcoholic hepatitis,Jennifer Schmidt,,3.4,Ahmedabad,Gujarat,Sterling Hospital,"11:00 - 12:00, 8:00 - 9:00, 13:00 - 14:00"
Alcoholic hepatitis,Melanie Evans,,3.6,Pune,Maharashtra,Jehangir Hospital,"11:00 - 12:00, 8:00 - 9:00, 16:00 - 17:00"
Tuberculosis,Brian Fox,,3.7,Surat,Gujarat,New Civil Hospital,"8:00 - 9:00, 15:00 - 16:00, 14:00 - 15:00"
Tuberculosis,Brandon Carter PhD,,2.7,Jaipur,Rajasthan,Fortis Escorts Hospital,"14:00 - 15:00, 12:00 - 13:00, 13:00 - 14:00"
Tuberculosis,Travis Norman,,1.6,Lucknow,Uttar Pradesh,Sanjay Gandhi Postgraduate Institute of Medical Sciences,"12:00 - 13:00, 14:00 - 15:00, 11:00 - 12:00"
Tuberculosis,David Hill,,3.1,Kanpur,Uttar Pradesh,Regency Hospital Limited,"13:00 - 14:00, 11:00 - 12:00, 15:00 - 16:00"
Tuberculosis,Ashley Archer,,1.8,Nagpur,Maharashtra,New Era Hospital,"12:00 - 13:00, 16:00 - 17:00, 14:00 - 15:00"
Common Cold,Scott Robinson,,2,Indore,Madhya Pradesh,Bombay Hospital,"15:00 - 16:00, 13:00 - 14:00, 11:00 - 12:00"
Common Cold,Roy Ramos,,3.1,Thane,Maharashtra,Jupiter Hospital,"14:00 - 15:00, 12:00 - 13:00, 9:00 - 10:00"
Common Cold,Mary Butler MD,,1.6,Mumbai,Maharashtra,Dr. Balabhai Nanavati Hospital,"17:00 - 18:00, 15:00 - 16:00, 10:00 - 11:00"
Pneumonia,Valerie Jones,,3.9,Delhi,Delhi,All India Institute of Medical Sciences,"13:00 - 14:00, 12:00 - 13:00, 8:00 - 9:00"
Pneumonia,Anthony Rodgers,,1,Bangalore,Karnataka,Manipal Hospital,"11:00 - 12:00, 9:00 - 10:00, 15:00 - 16:00"
Pneumonia,Gregory Lawrence,,3.1,Hyderabad,Telangana,Apollo Health City,"10:00 - 11:00, 17:00 - 18:00, 13:00 - 14:00"
Pneumonia,Jennifer Williams,,4.6,Kolkata,West Bengal,Fortis Hospital,"16:00 - 17:00, 17:00 - 18:00, 13:00 - 14:00"
Dimorphic hemmorhoids(piles),Kimberly Cannon,,2.8,Chennai,Tamil Nadu,Apollo Hospitals,"8:00 - 9:00, 13:00 - 14:00, 14:00 - 15:00"
Dimorphic hemmorhoids(piles),Jacob Collins,,1.5,Ahmedabad,Gujarat,Sterling Hospital,"10:00 - 11:00, 12:00 - 13:00, 14:00 - 15:00"
Dimorphic hemmorhoids(piles),Andrea Aguilar,,3.2,Pune,Maharashtra,Jehangir Hospital,"12:00 - 13:00, 14:00 - 15:00, 9:00 - 10:00"
Dimorphic hemmorhoids(piles),Jose Martinez,,2.2,Surat,Gujarat,New Civil Hospital,"12:00 - 13:00, 16:00 - 17:00, 15:00 - 16:00"
Heart attack,Jaime Lopez,,1.9,Jaipur,Rajasthan,Fortis Escorts Hospital,"9:00 - 10:00, 8:00 - 9:00, 14:00 - 15:00"
Heart attack,Joseph Chandler,,4.4,Lucknow,Uttar Pradesh,Sanjay Gandhi Postgraduate Institute of Medical Sciences,"10:00 - 11:00, 14:00 - 15:00, 16:00 - 17:00"
Heart attack,Leslie Martinez,,2.8,Kanpur,Uttar Pradesh,Regency Hospital Limited,"17:00 - 18:00, 13:00 - 14:00, 14:00 - 15:00"
Heart attack,Sarah Jenkins,,3.9,Nagpur,Maharashtra,New Era Hospital,"15:00 - 16:00, 11:00 - 12:00, 12:00 - 13:00"
Heart attack,Jonathan Kent,,1.9,Indore,Madhya Pradesh,Bombay Hospital,"15:00 - 16:00, 8:00 - 9:00, 14:00 - 15:00"
Varicose veins,Sean Walker,,4.4,Thane,Maharashtra,Jupiter Hospital,"15:00 - 16:00, 9:00 - 10:00, 8:00 - 9:00"
Varicose veins,Joan Jones,,3.5,Mumbai,Maharashtra,Dr. Balabhai Nanavati Hospital,"14:00 - 15:00, 11:00 - 12:00, 17:00 - 18:00"
Varicose veins,Bethany Hutchinson,,1.2,Delhi,Delhi,All India Institute of Medical Sciences,"12:00 - 13:00, 15:00 - 16:00, 14:00 - 15:00"
Varicose veins,Natasha Wagner,,4.4,Bangalore,Karnataka,Manipal Hospital,"10:00 - 11:00, 12:00 - 13:00, 16:00 - 17:00"
Hypothyroidism,Timothy Campbell,,2.1,Hyderabad,Telangana,Apollo Health City,"8:00 - 9:00, 14:00 - 15:00, 9:00 - 10:00"
Hypothyroidism,Alan Blackwell,,4,Kolkata,West Bengal,Fortis Hospital,"16:00 - 17:00, 14:00 - 15:00, 8:00 - 9:00"
Hypothyroidism,Samantha Skinner,,2.8,Chennai,Tamil Nadu,Apollo Hospitals,"16:00 - 17:00, 13:00 - 14:00, 9:00 - 10:00"
Hypothyroidism,James Roberts,,3.2,Ahmedabad,Gujarat,Sterling Hospital,"11:00 - 12:00, 15:00 - 16:00, 14:00 - 15:00"
Hyperthyroidism,Eddie Gonzalez,,4.4,Pune,Maharashtra,Jehangir Hospital,"12:00 - 13:00, 11:00 - 12:00, 14:00 - 15:00"
Hyperthyroidism,Ashley Stephens,,1.7,Surat,Gujarat,New Civil Hospital,"13:00 - 14:00, 15:00 - 16:00, 17:00 - 18:00"
Hyperthyroidism,Carolyn Jefferson,,1.4,Jaipur,Rajasthan,Fortis Escorts Hospital,"16:00 - 17:00, 14:00 - 15:00, 15:00 - 16:00"
Hyperthyroidism,Donna Brock,,3.1,Lucknow,Uttar Pradesh,Sanjay Gandhi Postgraduate Institute of Medical Sciences,"13:00 - 14:00, 12:00 - 13:00, 17:00 - 18:00"
Hypoglycemia,Jared Greene,,4.9,Kanpur,Uttar Pradesh,Regency Hospital Limited,"9:00 - 10:00, 12:00 - 13:00, 11:00 - 12:00"
Hypoglycemia,Sonia Mccarty,,2.8,Nagpur,Maharashtra,New Era Hospital,"12:00 - 13:00, 14:00 - 15:00, 17:00 - 18:00"
Hypoglycemia,Kimberly Mitchell,,2.4,Indore,Madhya Pradesh,Bombay Hospital,"16:00 - 17:00, 10:00 - 11:00, 15:00 - 16:00"
Hypoglycemia,Raymond Hunt,,1.4,Thane,Maharashtra,Jupiter Hospital,"14:00 - 15:00, 13:00 - 14:00, 15:00 - 16:00"
Osteoarthristis,Rachel Jimenez,,2.3,Mumbai,Maharashtra,Dr. Balabhai Nanavati Hospital,"13:00 - 14:00, 14:00 - 15:00, 16:00 - 17:00"
Osteoarthristis,Lisa Hodges,,2.6,Delhi,Delhi,All India Institute of Medical Sciences,"10:00 - 11:00, 14:00 - 15:00, 9:00 - 10:00"
Osteoarthristis,Elizabeth Hamilton,,4.6,Bangalore,Karnataka,Manipal Hospital,"11:00 - 12:00, 15:00 - 16:00, 8:00 - 9:00"
Osteoarthristis,Scott Bradley,,1.7,Hyderabad,Telangana,Apollo Health City,"8:00 - 9:00, 14:00 - 15:00, 17:00 - 18:00"
Osteoarthristis,Brian Wells,,3.1,Kolkata,West Bengal,Fortis Hospital,"16:00 - 17:00, 10:00 - 11:00, 11:00 - 12:00"
Arthritis,Debra Cox,,3.9,Chennai,Tamil Nadu,Apollo Hospitals,"14:00 - 15:00, 12:00 - 13:00, 9:00 - 10:00"
Arthritis,Alexander Barrett,,1.8,Ahmedabad,Gujarat,Sterling Hospital,"10:00 - 11:00, 16:00 - 17:00, 14:00 - 15:00"
Arthritis,Monica Wolfe,,2.9,Pune,Maharashtra,Jehangir Hospital,"14:00 - 15:00, 10:00 - 11:00, 13:00 - 14:00"
(vertigo) Paroymsal Positional Vertigo,Nicholas Watkins,,2.9,Surat,Gujarat,New Civil Hospital,"12:00 - 13:00, 10:00 - 11:00, 14:00 - 15:00"
(vertigo) Paroymsal Positional Vertigo,Heather Garcia,,4.1,Jaipur,Rajasthan,Fortis Escorts Hospital,"11:00 - 12:00, 16:00 - 17:00, 13:00 - 14:00"
(vertigo) Paroymsal Positional Vertigo,Jacob Hernandez,,1.7,Lucknow,Uttar Pradesh,Sanjay Gandhi Postgraduate Institute of Medical Sciences,"8:00 - 9:00, 14:00 - 15:00, 9:00 - 10:00"
(vertigo) Paroymsal Positional Vertigo,Gregory Floyd,,1.6,Kanpur,Uttar Pradesh,Regency Hospital Limited,"13:00 - 14:00, 15:00 - 16:00, 10:00 - 11:00"
(vertigo) Paroymsal Positional Vertigo,Mary Bradley,,3.8,Nagpur,Maharashtra,New Era Hospital,"11:00 - 12:00, 8:00 - 9:00, 12:00 - 13:00"
Acne,Brenda Chen,,1.4,Indore,Madhya Pradesh,Bombay Hospital,"8:00 - 9:00, 15:00 - 16:00, 14:00 - 15:00"
Acne,Judy Rodriguez,,2.8,Thane,Maharashtra,Jupiter Hospital,"8:00 - 9:00, 16:00 - 17:00, 11:00 - 12:00"
Acne,Mark Livingston,,1,Mumbai,Maharashtra,Dr. Balabhai Nanavati Hospital,"16:00 - 17:00, 14:00 - 15:00, 12:00 - 13:00"
Acne,Linda Rodriguez,,2.3,Delhi,Delhi,All India Institute of Medical Sciences,"13:00 - 14:00, 15:00 - 16:00, 8:00 - 9:00"
Acne,Natalie Garcia,,3.5,Bangalore,Karnataka,Manipal Hospital,"15:00 - 16:00, 17:00 - 18:00, 8:00 - 9:00"
Urinary tract infection,Seth Webb,,2,Hyderabad,Telangana,Apollo Health City,"11:00 - 12:00, 10:00 - 11:00, 8:00 - 9:00"
Urinary tract infection,Daniel Schultz,,2,Kolkata,West Bengal,Fortis Hospital,"14:00 - 15:00, 15:00 - 16:00, 12:00 - 13:00"
Urinary tract infection,Jacob Carter,,3.6,Chennai,Tamil Nadu,Apollo Hospitals,"13:00 - 14:00, 10:00 - 11:00, 8:00 - 9:00"
Psoriasis,Brent Collins,,4.2,Ahmedabad,Gujarat,Sterling Hospital,"9:00 - 10:00, 8:00 - 9:00, 16:00 - 17:00"
Psoriasis,Kevin Rivera,,2,Pune,Maharashtra,Jehangir Hospital,"12:00 - 13:00, 13:00 - 14:00, 15:00 - 16:00"
Psoriasis,Lonnie Forbes,,1.8,Surat,Gujarat,New Civil Hospital,"16:00 - 17:00, 12:00 - 13:00, 13:00 - 14:00"
Impetigo,Howard Ruiz,,1.6,Jaipur,Rajasthan,Fortis Escorts Hospital,"11:00 - 12:00, 17:00 - 18:00, 16:00 - 17:00"
Impetigo,Seth Medina,,3.5,Lucknow,Uttar Pradesh,Sanjay Gandhi Postgraduate Institute of Medical Sciences,"10:00 - 11:00, 16:00 - 17:00, 14:00 - 15:00"
Impetigo,Joshua Hill,,3.4,Kanpur,Uttar Pradesh,Regency Hospital Limited,"13:00 - 14:00, 9:00 - 10:00, 11:00 - 12:00"
